iter	Passed	Remaining
660	5242	2688
661	5249	2680
662	5256	2671
663	5262	2663
664	5269	2654
665	5276	2646
666	5282	2637
667	5289	2629
668	5296	2620
669	5303	2612
670	5310	2603
671	5316	2595
672	5323	2586
673	5330	2578
674	5337	2569
675	5344	2561
676	5351	2553
677	5358	2544
678	5364	2536
679	5371	2527
680	5379	2519
681	5387	2512
682	5395	2504
683	5406	2497
684	5413	2489
685	5421	2481
686	5427	2472
687	5435	2464
688	5441	2456
689	5448	2447
690	5455	2439
691	5462	2431
692	5468	2422
693	5475	2414
694	5481	2405
695	5488	2397
696	5495	2388
697	5501	2380
698	5508	2371
699	5514	2363
700	5521	2355
701	5528	2346
702	5534	2338
703	5541	2329
704	5548	2321
705	5554	2313
706	5561	2304
707	5568	2296
708	5575	2288
709	5581	2279
710	5589	2271
711	5597	2264
712	5605	2256
713	5616	2249
714	5622	2241
715	5630	2233
716	5637	2225
717	5646	2217
718	5652	2209
719	5659	2201
720	5666	2192
721	5673	2184
722	5679	2176
723	5686	2167
724	5693	2159
725	5699	2151
726	5706	2142
727	5713	2134
728	5720	2126
729	5726	2118
730	5733	2109
731	5740	2101
732	5746	2093
733	5753	2085
734	5760	2076
735	5766	2068
736	5773	2060
737	5779	2051
738	5788	2044
739	5797	2036
740	5809	2030
741	5816	2022
742	5824	2014
743	5831	2006
744	5838	1998
745	5845	1990
746	5852	1982
747	5859	1973
748	5865	1965
749	5872	1957
750	5879	1949
751	5885	1940
752	5892	1932
753	5898	1924
754	5905	1916
755	5912	1908
756	5919	1900
757	5925	1891
758	5932	1883
759	5939	1875
760	5945	1867
761	5952	1859
762	5959	1851
763	5965	1842
764	5972	1834
765	5979	1826
766	5985	1818
767	5992	1810
768	5999	1802
769	6006	1794
770	6014	1786
771	6022	1778
772	6032	1771
773	6041	1763
774	6047	1755
775	6056	1748
776	6062	1740
777	6069	1732
778	6076	1723
779	6083	1715
780	6090	1707
781	6096	1699
782	6103	1691
783	6110	1683
784	6116	1675
785	6123	1667
786	6130	1659
787	6136	1651
788	6143	1642
789	6150	1634
790	6156	1626
791	6163	1618
792	6170	1610
793	6176	1602
794	6183	1594
795	6190	1586
796	6197	1578
797	6203	1570
798	6211	1562
799	6219	1554
800	6229	1547
801	6237	1540
802	6245	1532
803	6251	1524
804	6258	1516
805	6266	1508
806	6272	1500
807	6279	1492
808	6286	1484
809	6292	1476
810	6299	1468
811	6306	1460
812	6313	1452
813	6320	1444
814	6326	1436
815	6333	1428
816	6340	1420
817	6347	1412
818	6353	1404
819	6360	1396
820	6367	1388
821	6374	1380
822	6380	1372
823	6387	1364
824	6394	1356
825	6401	1348
826	6408	1340
827	6414	1332
828	6421	1324
829	6428	1316
830	6436	1308
831	6444	1301
832	6453	1293
833	6463	1286
834	6470	1278
835	6478	1270
836	6485	1262
837	6492	1255
838	6499	1247
839	6506	1239
840	6514	1231
841	6521	1223
842	6528	1215
843	6535	1207
844	6541	1199
845	6548	1192
846	6555	1184
847	6562	1176
848	6569	1168
849	6576	1160
850	6582	1152
851	6589	1144
852	6596	1136
853	6603	1128
854	6610	1121
855	6618	1113
856	6625	1105
857	6633	1097
858	6642	1090
859	6651	1082
860	6659	1075
861	6667	1067
862	6673	1059
863	6680	1051
864	6687	1043
865	6694	1035
866	6701	1027
867	6707	1020
868	6714	1012
869	6721	1004
870	6728	996
871	6735	988
872	6741	980
873	6748	972
874	6755	965
875	6761	957
876	6768	949
877	6775	941
878	6782	933
879	6788	925
880	6795	917
881	6802	910
882	6808	902
883	6815	894
884	6822	886
885	6828	878
886	6835	870
887	6842	863
888	6849	855
889	6856	847
890	6863	839
891	6871	831
892	6879	824
893	6888	816
894	6898	809
895	6905	801
896	6913	793
897	6920	786
898	6927	778
899	6934	770
900	6940	762
901	6947	754
902	6954	747
903	6960	739
904	6967	731
905	6974	723
906	6981	715
907	6987	708
908	6994	700
909	7001	692
910	7007	684
911	7014	676
912	7021	669
913	7028	661
914	7034	653
915	7041	645
916	7048	637
917	7057	630
918	7065	622
919	7073	615
920	7083	607
921	7091	599
922	7097	592
923	7105	584
924	7111	576
925	7118	568
926	7125	561
927	7132	553
928	7138	545
929	7145	537
930	7152	530
931	7159	522
932	7165	514
933	7172	506
934	7179	499
935	7186	491
936	7192	483
937	7199	475
938	7206	468
939	7212	460
940	7219	452
941	7226	444
942	7232	437
943	7239	429
944	7246	421
945	7253	414
946	7259	406
947	7266	398
948	7273	390
949	7281	383
950	7288	375
951	7296	367
952	7304	360
953	7313	352
954	7323	345
955	7329	337
956	7337	329
957	7344	321
958	7351	314
959	7357	306
960	7364	298
961	7371	291
962	7378	283
963	7384	275
964	7391	268
965	7398	260
966	7404	252
967	7411	245
968	7418	237
969	7424	229
970	7431	221
971	7437	214
972	7444	206
973	7451	198
974	7457	191
975	7464	183
976	7471	175
977	7479	168
978	7487	160
979	7496	152
980	7505	145
981	7513	137
982	7520	130
983	7526	122
984	7533	114
985	7540	107
986	7547	99
987	7553	91
988	7560	84
989	7567	76
990	7573	68
991	7580	61
992	7586	53
993	7594	45
994	7601	38
995	7608	30
996	7615	22
997	7621	15
998	7628	7
999	7635	0
